"Parameter name","Parameter exemplar","modbus signal type","modbus signal ID","data type","data number of bits","unit fraction","comment","number of registers","historic name","function codes used","access"
"app2_v_ma_mi_re",0,"ain",354,"u64","64","none","Numeric representation of inactive software version.","4","input register","0x04","read"
"app_v_ma_mi_re",0,"ain",350,"u64","64","none","Numeric representation of active software version.","4","input register","0x04","read"
"article_number_u64",0,"ain",362,"u64","64","none","Device article number as unsigned decimal integer.","4","input register","0x04","read"
"ctrl_val",0,"ain",301,"u16","16","u16ctrl","Control value (normal value 2800)","1","input register","0x04","read"
"daylight_saving",0,"dout",506,"bool","1","none","Flag if daylight saving shall be applied.","1","coil","0x01 0x05 0x0F","read/write"
"devel_log_cpu_temp",0,"dout",700,"bool","1","none","Flag if CPU temperature shall be logged.","1","coil","0x01 0x05 0x0F","read/write"
"devel_update_test_feed",0,"dout",701,"bool","1","none","Flag if developer test feed shall be used for update","1","coil","0x01 0x05 0x0F","read/write"
"devel_url_sn_suffix",0,"dout",702,"bool","1","none","Flag if S/N shall be provided for update","1","coil","0x01 0x05 0x0F","read/write"
"device_total_heating_s",0,"ain",108,"u32","32","s","Device total heating time 32 bit [s]","2","input register","0x04","read"
"device_total_uptime_s",0,"ain",106,"u32","32","s","Device total power-on time 32 bit [s]","2","input register","0x04","read"
"device_uptime_s",0,"ain",110,"u32","32","s","Time since last power-on 32 bit [s]","2","input register","0x04","read"
"display_bright_flow",0,"dout",602,"bool","1","none","Water flow finish idle state of display light.","1","coil","0x01 0x05 0x0F","read/write"
"epoch_s",0,"ain",500,"u64","64","epoch","Time of day as UNIX epoch 64 bit [s]","4","input register","0x04","read"
"fill_remain_l",0,"ain",200,"u16","16","l","Remaining volume of fill automatic in liter","1","input register","0x04","read"
"fill_remain_s",0,"ain",201,"u16","16","s","Remaining time of timer automatic in seconds","1","input register","0x04","read"
"filling_active",0,"dout",210,"bool","1","none","Flag if filling automatic shall be activated","1","coil","0x01 0x05 0x0F","read/write"
"flow_lmin10",0,"ain",2,"u8","8","lmin10","Current water flow [1/10 l/min]","1","input register","0x04","read"
